sample_index,roll_id,die_index,value,held,source,rescued,rescue_kind,escape_recovered,stuck_reroll,stuck_reason,final_align,unsettled_secs,final_x,final_z,final_height,spawn_x,spawn_y,spawn_z,roll_duration_secs
10003,8015,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0666,0.0419,0.0214,-0.0558,0.0521,0.0630,1.133
10004,8015,4,3,false,batch,false,,false,false,,1.000,0.000,0.0781,0.0729,0.0214,0.0630,0.0847,0.0552,1.133
10000,8016,0,1,false,batch,false,,false,false,,1.000,0.000,-0.0690,-0.0561,0.0214,-0.0541,0.0717,-0.0624,1.233
10001,8016,1,1,false,batch,true,stacked,false,false,,0.985,0.000,0.0892,-0.0464,0.0248,0.0528,0.0640,-0.0542,1.233
10002,8016,2,6,false,batch,false,,false,false,,1.000,0.000,-0.0235,0.0006,0.0214,0.0049,0.0511,-0.0101,1.233
10003,8016,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0678,0.0606,0.0214,-0.0527,0.0742,0.0549,1.233
10004,8016,4,4,false,batch,false,,false,false,,1.000,0.000,0.0512,0.0562,0.0214,0.0596,0.0633,0.0526,1.233
10000,8017,0,5,false,batch,false,,false,false,,1.000,0.000,-0.0886,-0.0717,0.0214,-0.0611,0.0851,-0.0587,1.133
10001,8017,1,4,false,batch,false,,false,false,,1.000,0.000,0.0909,-0.0719,0.0214,0.0568,0.0525,-0.0596,1.133
10002,8017,2,3,false,batch,false,,false,false,,1.000,0.000,-0.0118,-0.0282,0.0214,-0.0097,0.0654,-0.0087,1.133
10003,8017,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0368,0.0856,0.0214,-0.0555,0.0625,0.0660,1.133
10004,8017,4,5,false,batch,false,,false,false,,1.000,0.000,0.0640,0.0690,0.0214,0.0525,0.0892,0.0577,1.133
10000,8018,0,5,false,batch,true,stacked|wall,false,true,wall-blocked,0.777,0.800,-0.0991,-0.0278,0.0301,-0.0669,0.0611,-0.0552,0.683
10001,8018,1,5,false,batch,true,wall,false,true,wall-blocked,0.986,0.800,0.1025,-0.1093,0.0771,0.0556,0.0501,-0.0652,0.683
10002,8018,2,5,false,batch,false,,false,false,,1.000,0.000,0.0226,-0.0055,0.0214,-0.0051,0.0776,0.0061,0.683
10003,8018,3,6,false,batch,false,,false,false,,1.000,0.000,-0.0974,0.0754,0.0214,-0.0607,0.0657,0.0487,0.683
10004,8018,4,2,false,batch,false,,false,false,,1.000,0.000,0.0957,0.0923,0.0214,0.0521,0.0837,0.0454,0.683
10000,8019,0,4,false,batch,false,,false,false,,1.000,0.000,-0.0752,-0.0507,0.0214,-0.0607,0.0551,-0.0624,1.317
10001,8019,1,1,false,batch,false,,false,false,,1.000,0.000,0.0627,-0.0409,0.0214,0.0650,0.0540,-0.0503,1.317
10002,8019,2,6,false,batch,false,,false,false,,1.000,0.000,0.0080,-0.0668,0.0214,0.0083,0.0779,0.0034,1.317
10003,8019,3,6,false,batch,false,,false,false,,0.989,0.000,-0.0869,0.0893,0.0243,-0.0623,0.0866,0.0587,1.317
10004,8019,4,1,false,batch,false,,false,false,,1.000,0.000,0.0623,0.0572,0.0214,0.0440,0.0795,0.0466,1.317
10000,8020,0,1,false,batch,false,,false,false,,1.000,0.000,-0.0648,-0.0487,0.0214,-0.0663,0.0882,-0.0543,0.617
10001,8020,1,5,false,batch,true,stacked|wall,false,true,wall-blocked,0.830,0.817,0.0988,-0.0864,0.0344,0.0430,0.0606,-0.0463,0.617
10002,8020,2,1,false,batch,false,,false,false,,1.000,0.000,-0.0342,-0.0033,0.0214,0.0091,0.0862,-0.0010,0.617
10003,8020,3,1,false,batch,false,,false,false,,1.000,0.000,-0.0874,0.0021,0.0214,-0.0565,0.0743,0.0597,0.617
10004,8020,4,6,false,batch,false,,false,false,,1.000,0.000,0.0693,0.0328,0.0214,0.0573,0.0736,0.0478,0.617
10000,8021,0,4,false,batch,true,stacked,false,false,,1.000,0.000,-0.0822,-0.0690,0.0214,-0.0435,0.0565,-0.0499,1.317
10001,8021,1,6,false,batch,false,,false,false,,1.000,0.000,0.0775,-0.0679,0.0214,0.0655,0.0817,-0.0456,1.317
10002,8021,2,6,false,batch,false,,false,false,,1.000,0.000,0.0153,-0.0877,0.0214,0.0025,0.0583,0.0103,1.317
10003,8021,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0391,0.0745,0.0214,-0.0485,0.0697,0.0487,1.317
10004,8021,4,5,false,batch,false,,false,false,,1.000,0.000,0.0330,0.0686,0.0214,0.0494,0.0868,0.0647,1.317
10000,8022,0,6,false,batch,false,,false,false,,1.000,0.000,-0.0762,-0.0500,0.0214,-0.0546,0.0522,-0.0434,1.300
10001,8022,1,6,false,batch,true,stacked,false,false,,1.000,0.000,0.0835,-0.0461,0.0214,0.0446,0.0849,-0.0561,1.300
10002,8022,2,3,false,batch,false,,false,false,,1.000,0.000,0.0060,0.0515,0.0214,-0.0016,0.0521,-0.0077,1.300
10003,8022,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0384,0.0281,0.0214,-0.0564,0.0554,0.0439,1.300
10004,8022,4,2,false,batch,false,,false,false,,1.000,0.000,0.0603,0.0026,0.0214,0.0607,0.0504,0.0639,1.300
10000,8023,0,6,false,batch,false,,false,false,,1.000,0.000,0.0012,0.0017,0.0214,-0.0524,0.0569,-0.0583,1.433
10001,8023,1,3,false,batch,false,,false,false,,1.000,0.000,0.0930,-0.0655,0.0214,0.0484,0.0694,-0.0430,1.433
10002,8023,2,5,false,batch,false,,false,false,,1.000,0.000,-0.0964,0.0102,0.0214,0.0012,0.0700,-0.0005,1.433
10003,8023,3,1,false,batch,false,,false,false,,1.000,0.000,-0.0824,0.0621,0.0214,-0.0659,0.0625,0.0442,1.433
10004,8023,4,4,false,batch,false,,false,false,,1.000,0.000,0.0400,0.0494,0.0214,0.0437,0.0857,0.0463,1.433
10000,8024,0,6,false,batch,false,,false,false,,1.000,0.000,-0.0473,-0.0640,0.0214,-0.0485,0.0812,-0.0587,1.000
10001,8024,1,6,false,batch,false,,false,false,,1.000,0.000,0.0598,-0.0922,0.0214,0.0495,0.0636,-0.0652,1.000
10002,8024,2,6,false,batch,false,,false,false,,1.000,0.000,0.0025,-0.0455,0.0214,0.0016,0.0683,-0.0015,1.000
10003,8024,3,6,false,batch,false,,false,false,,1.000,0.000,-0.0867,0.0735,0.0214,-0.0445,0.0865,0.0538,1.000
10004,8024,4,5,false,batch,false,,false,false,,1.000,0.000,0.0970,0.0974,0.0214,0.0469,0.0561,0.0470,1.000
10000,8025,0,6,false,batch,false,,false,false,,1.000,0.000,-0.0504,-0.0459,0.0214,-0.0647,0.0761,-0.0503,1.200
10001,8025,1,1,false,batch,true,stacked,false,false,,1.000,0.000,0.0974,-0.0820,0.0214,0.0439,0.0592,-0.0477,1.200
10002,8025,2,1,false,batch,false,,false,false,,1.000,0.000,0.0292,-0.0633,0.0214,-0.0110,0.0557,0.0113,1.200
10003,8025,3,5,false,batch,false,,false,false,,1.000,0.000,-0.0861,0.0739,0.0214,-0.0564,0.0795,0.0451,1.200
10004,8025,4,1,false,batch,false,,false,false,,1.000,0.000,0.0454,0.0691,0.0214,0.0463,0.0713,0.0574,1.200
10000,8026,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0890,-0.0659,0.0214,-0.0509,0.0754,-0.0457,0.600
10001,8026,1,4,false,batch,true,stacked,false,false,,1.000,0.000,0.0573,-0.0674,0.0214,0.0539,0.0736,-0.0621,0.600
10002,8026,2,6,false,batch,true,wall,false,true,wall-blocked,0.812,0.800,-0.0432,-0.0988,0.0299,-0.0042,0.0805,-0.0063,0.600
10003,8026,3,2,false,batch,false,,false,false,,1.000,0.000,-0.0654,0.0377,0.0214,-0.0631,0.0656,0.0514,0.600
10004,8026,4,6,false,batch,false,,false,false,,1.000,0.000,0.0592,0.0658,0.0214,0.0594,0.0842,0.0463,0.600
10000,8027,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0814,-0.0526,0.0214,-0.0476,0.0660,-0.0443,1.017
10001,8027,1,5,false,batch,false,,false,false,,1.000,0.000,0.0887,-0.0742,0.0214,0.0448,0.0770,-0.0668,1.017
10002,8027,2,5,false,batch,false,,false,false,,1.000,0.000,-0.0086,-0.0082,0.0214,-0.0036,0.0585,-0.0075,1.017
10003,8027,3,4,false,batch,false,,false,false,,1.000,0.000,-0.0482,0.0620,0.0214,-0.0629,0.0766,0.0508,1.017
10004,8027,4,6,false,batch,false,,false,false,,1.000,0.000,0.0818,0.0705,0.0214,0.0463,0.0607,0.0572,1.017
10000,8028,0,2,false,batch,false,,false,false,,1.000,0.000,-0.0458,-0.0700,0.0214,-0.0668,0.0546,-0.0565,1.283
10001,8028,1,3,false,batch,false,,false,false,,1.000,0.000,0.0878,-0.0348,0.0214,0.0587,0.0899,-0.0481,1.283
10002,8028,2,3,false,batch,false,,false,false,,1.000,0.000,0.0147,-0.0916,0.0216,-0.0055,0.0887,0.0116,1.283
10003,8028,3,6,false,batch,false,,false,false,,1.000,0.000,-0.0754,0.0662,0.0214,-0.0508,0.0898,0.0557,1.283
10004,8028,4,2,false,batch,false,,false,false,,1.000,0.000,0.0473,0.0704,0.0214,0.0512,0.0827,0.0621,1.283
10000,8029,0,3,false,batch,false,,false,false,,1.000,0.000,-0.0597,-0.0725,0.0214,-0.0445,0.0756,-0.0526,1.467
10001,8029,1,6,false,batch,false,,false,false,,1.000,0.000,0.0614,-0.0898,0.0214,0.0583,0.0702,-0.0475,1.467
